GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
machine,fr.imt.coffee.machine,EspressoCoffeeMachine,22,114,6,12,5,23,7,5,1,2
machine,fr.imt.coffee.machine,CoffeeMachine,47,216,4,14,14,54,9,22,5,17
machine,fr.imt.coffee.machine.component,BeanTank,0,23,0,0,0,9,0,4,0,4
machine,fr.imt.coffee.machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
machine,fr.imt.coffee.machine.component,WaterPump,0,59,0,4,0,16,0,6,0,4
machine,fr.imt.coffee.machine.component,Tank,0,71,0,8,0,22,0,10,0,6
machine,fr.imt.coffee.machine.component,SteamPipe,0,17,0,0,0,8,0,4,0,4
machine,fr.imt.coffee.machine.component,ElectricalResistance,3,38,0,0,1,10,1,3,1,3
machine,fr.imt.coffee.machine.component,CoffeeGrinder,0,40,0,2,0,12,0,4,0,3
machine,fr.imt.coffee.machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,0,4,0,0,0,2,0,1,0,1
machine,fr.imt.coffee.machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,0,4,0,0,0,2,0,1,0,1
machine,fr.imt.coffee.machine.exception,MachineNotPluggedException,4,0,0,0,2,0,1,0,1,0
machine,fr.imt.coffee.machine.exception,LackOfWaterInTankException,0,4,0,0,0,2,0,1,0,1
